roster_id,matchup_id,starters,players
1,5,"['9229', '9226', '4983', '9502', '11604', '7611', '11624', '7640', '4070', '8339', '5991']","['11604', '11624', '1373', '2393', '4066', '4070', '4983', '5991', '7528', '7611', '7640', '8290', '8339', '9226', '9229', '9502']"
2,3,"['5849', '4866', '6783', '10229', '8130', '9754', '6938', '5862', '5346', '7715', '5041']","['10229', '11625', '1233', '4018', '4866', '5041', '5346', '5849', '5862', '5872', '6783', '6938', '7715', '8129', '8130', '8205', '9754']"
3,2,"['3294', '6790', '2449', '10222', '1466', '7588', '5892', '5871', '7672', '4963', '10880']","['10222', '10880', '11086', '1466', '2449', '3172', '3294', '4217', '4963', '5848', '5871', '5892', '6790', '7523', '7588', '7672', '8110', '9756']"
4,5,"['6797', '6806', '6786', '7547', '3214', '11632', '9488', '6118', '5944', '8323', '6880']","['11582', '11583', '11632', '1479', '3214', '3286', '4034', '4147', '5944', '6118', '6786', '6797', '6806', '6880', '7547', '7600', '8323', '9488']"
5,2,"['6770', '9509', '6794', '11635', '5022', '8136', '8143', '3303', '5960', '8392', '6214']","['11584', '11635', '3303', '4033', '4892', '4950', '5022', '5960', '6214', '6770', '6794', '8136', '8142', '8143', '8392', '9509']"
6,1,"['4881', '8408', '2133', '5846', '4993', '6813', '4035', '3973', '5894', '5876', '5334']","['2133', '2309', '2749', '3973', '4035', '4663', '4881', '4988', '4993', '5334', '5846', '5876', '5894', '6803', '6813', '8139', '8408']"
7,6,"['4046', '5850', '3321', '7525', '10859', '4199', '4037', '6120', '4449', '5017', '2617']","['10859', '2617', '3321', '4037', '4046', '4199', '4449', '4981', '5017', '5045', '5850', '6120', '6845', '7021', '7525', '8134', '8311']"
8,1,"['9758', '9221', '7564', '8137', '5001', '8138', '9997', '10892', '6949', '6901', '8266']","['10892', '3163', '4039', '5001', '5844', '6901', '6949', '7564', '8137', '8138', '8148', '8167', '8266', '8355', '9221', '9758', '9997']"
9,4,"['4984', '8155', '11620', '11637', '10236', '7543', '6801', '8289', '5332', '10905', '4960']","['10226', '10236', '10905', '11620', '11637', '11667', '4960', '4984', '5332', '6801', '7543', '8155', '8289', '8314', '9224', '9508']"
10,4,"['6904', '9753', '8144', '8146', '8131', '8112', '6130', '5030', '6315', '3233', '5348']","['11589', '11596', '3164', '3233', '5030', '5348', '5859', '6130', '6315', '6819', '6904', '8112', '8131', '8144', '8146', '9753', '9757']"
11,6,"['2028', '8150', '5927', '2216', '5012', '4137', '5967', '5816', '7648', '6788', '1052']","['1052', '1339', '2028', '2216', '4137', '5012', '5816', '5927', '5967', '5987', '6788', '7594', '7648', '8121', '8150', '8183', '9493']"
12,3,"['11566', '3198', '11628', '7569', '7553', '8676', '8154', '6124', '6485', '7136', '2350']","['11566', '11628', '11631', '2350', '3198', '5248', '6124', '6485', '6804', '7136', '7526', '7553', '7569', '7591', '8151', '8154', '8676']"
