roster_id,matchup_id,starters,players
1,4.0,"['6768', '9226', '1479', '11624', '11604', '4983', '7528', '7640', '4070', '11674', '5991']","['1052', '11604', '11624', '11674', '1373', '1479', '4066', '4070', '4983', '5580', '5991', '6768', '7528', '7611', '7640', '8676', '9226']"
2,,"['5849', '4866', '5872', '1689', '8130', '4144', '8205', '5862', '1192', '10905', '0']","['10905', '11563', '1192', '1233', '1689', '2393', '4018', '4144', '4866', '5248', '5346', '5849', '5862', '5872', '8130', '8205']"
3,2.0,"['4943', '5892', '7049', '10222', '4217', '7090', '6790', '3172', '5348', '4081', '6815']","['10222', '10880', '1234', '1466', '2449', '3172', '4081', '4098', '4217', '4663', '4943', '5348', '5848', '5892', '6790', '6815', '7049', '7090', '7651', '9500']"
4,5.0,"['6904', '11655', '6786', '7547', '8110', '9488', '11632', '5840', '7672', '6788', '5041']","['11583', '11632', '11655', '4034', '5041', '5840', '5944', '6786', '6788', '6904', '7547', '7588', '7672', '8110', '8506', '9488']"
5,,"['6770', '9509', '6794', '11635', '8111', '8136', '6783', '7627', '5960', '8392', '6949']","['11584', '11635', '4892', '4950', '5022', '5947', '5960', '6770', '6783', '6794', '6949', '7627', '7715', '8111', '8136', '8392', '9509']"
6,1.0,"['4881', '4035', '5096', '2133', '9484', '6813', '9225', '3973', '6900', '8333', '10914']","['10914', '2133', '3973', '4035', '4881', '4988', '5096', '5846', '6803', '6813', '6900', '6963', '7571', '7600', '8267', '8333', '9225', '9484']"
7,,"['4046', '5850', '7525', '3321', '10859', '11651', '4199', '5015', '6302', '5017', '6807']","['10859', '11651', '3321', '4046', '4199', '5015', '5017', '5045', '5850', '6302', '6807', '6888', '7021', '7525', '7635', '7648', '8134']"
8,4.0,"['3163', '9221', '8148', '7564', '5844', '4039', '8138', '2036', '8266', '4971', '6131']","['2036', '2374', '3163', '4039', '4971', '5844', '6131', '7564', '8137', '8138', '8148', '8266', '8355', '9221', '9758', '9997']"
9,1.0,"['4984', '9224', '9756', '6801', '6826', '8220', '8228', '4135', '5332', '10891', '4960']","['10891', '11086', '3558', '4135', '4960', '4984', '5332', '6801', '6826', '8121', '8155', '8220', '8228', '8289', '8311', '9224', '9754', '9756']"
10,5.0,"['6797', '9753', '8112', '5859', '10236', '8146', '1426', '5030', '6141', '8330', '11734']","['10236', '11589', '11734', '1426', '3214', '5030', '5859', '6141', '6797', '6806', '6819', '8112', '8144', '8146', '8330', '96', '9753', '9757']"
11,2.0,"['8183', '8150', '9493', '5927', '5012', '4137', '7594', '6183', '6218', '3233', '7841']","['1339', '2216', '2350', '3233', '4137', '5012', '5927', '5967', '6183', '6218', '7594', '7841', '8150', '8183', '9229', '9493']"
12,,"['11566', '3198', '7569', '4981', '4033', '8151', '8154', '8265', '6217', '5876', '5894']","['11566', '11628', '11631', '2309', '3198', '4033', '4981', '5876', '5894', '6217', '6804', '7526', '7569', '8151', '8154', '8265']"
