status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,adds,consenter_ids,roster_ids,status_updated,waiver_budget,drops_19,drops_3271,drops_1837,drops_5995,drops_1689,drops_11435,drops,adds_10857,drops_11573,drops_11645,adds_11624,adds_12505,adds_5859,drops_11624,drops_12505,drops_5859,adds_11435,drops_10857,drops_1426,adds_1426,metadata_notes,settings_priority,settings_seq,settings_waiver_bid,adds_1689,adds_5995,adds_1837,adds_3271,adds_19,drops_11621,adds_12496,adds_12470,adds_12521,adds_12499,adds_12545,adds_12547,drops_8139,adds_11596,adds_8139,drops_11596,settings_is_counter,adds_11620,drops_11620,adds_4950,adds_6819,adds_6151,adds_11571,adds_10444,adds_4098,adds_7591,adds_2306,adds_7090,adds_6826,adds_7561,adds_4144,adds_7543,adds_11557,adds_8137,adds_11630,drops_11630,adds_6804,adds_7611,adds_8134,adds_8136,drops_6804,drops_7611,drops_8134,drops_8136,adds_4066,adds_5872,adds_5870,adds_8126,adds_8132,adds_8408,adds_7049,adds_4943,adds_8119,adds_8205,adds_1479,adds_1166,adds_7588,adds_11646,adds_5947,adds_96,settings_expires_at,adds_4199,adds_7569,drops_4199,drops_7569,adds_8676,adds_4068,adds_8148,adds_7528,adds_6790,adds_4035,adds_8154,adds_9480,adds_4984,adds_3321,adds_8150,adds_7523,adds_7526,drops_2028,adds_6813,adds_7553,adds_8183,adds_4892,adds_8130,adds_11650,drops_11650,adds_7594,drops_11567,drops_10228,drops_10863,drops_8116,drops_4068,drops_7066,drops_8408,drops_8177,drops_6943,drops_4066,drops_2381,drops_8142,drops_8208,drops_8230,drops_7523,drops_2078,drops_7049,drops_8117,drops_11834,drops_4080,drops_7562,drops_7002,drops_8119,drops_4950,drops_11582,drops_2374,drops_8676,drops_8255,drops_4234,drops_9504,drops_5985,drops_7090,drops_7594,drops_11748,drops_8154,drops_8130,drops_8121,drops_7528,drops_6819,drops_7591,drops_5947,drops_8137,drops_11646,drops_8221,drops_8148,drops_8205,drops_5872,drops_8183,drops_2197,drops_8126,drops_3321,drops_8132,drops_11557,drops_5870,drops_7543,drops_4943,drops_7553,drops_4098,drops_4984,drops_6790,drops_11574,drops_6011,drops_8220,drops_9480,drops_6826,drops_10226,drops_7588,drops_7567,drops_11571,drops_4574,drops_1166,drops_4892,drops_6813,drops_96,drops_4381,drops_9487,drops_5857,drops_8161,drops_8150,drops_7526,drops_8125,drops_1479,drops_9506,drops_4111,drops_4149,drops_6938,drops_2359,drops_4035,drops_9227,drops_9998,drops_10871,drops_9479,drops_10216,drops_9482,drops_7561,drops_3286,drops_4144,drops_6149,drops_6828,drops_6820,drops_4972,drops_1339,drops_8129,drops_10444,drops_7527,drops_5010,drops_2749,drops_5284,drops_4029,drops_7496,drops_6847,drops_6824,drops_7083,drops_10862,drops_11729,drops_5022,drops_6012,drops_7064,drops_11292,drops_6963,drops_8162,drops_8160,drops_8159
complete,free_agent,,1746495789901,,1,[],595464158774878208,1225295787353714688,,[11],[11],1746495789901,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1746494402537,,1,[],595464158774878208,1225289968327344128,,[11],[11],1746494402537,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,commissioner,,1746390585548,,1,[],451807541647634432,1224854528310923264,,,[12],1746390585548,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,commissioner,,1746390578340,,1,[],451807541647634432,1224854498078375936,,,[12],1746390578340,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,commissioner,,1746390570353,,1,[],451807541647634432,1224854464582668288,,,[12],1746390570353,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,commissioner,,1746390559117,,1,[],451807541647634432,1224854417455452160,,,[12],1746390559117,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,commissioner,,1746390545189,,1,[],451807541647634432,1224854359032999936,,,[12],1746390545189,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,commissioner,,1746390535198,,1,[],451807541647634432,1224854317131911168,,,[12],1746390535198,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,commissioner,,1746390519654,,1,[],451807541647634432,1224854251935649792,,,[12],1746390519654,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,commissioner,,1746390506328,,1,[],451807541647634432,1224854196042350592,,,[12],1746390506328,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,commissioner,,1746390494940,,1,[],451807541647634432,1224854148277604352,,,[12],1746390494940,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,commissioner,,1746390485899,,1,[],451807541647634432,1224854110356910080,,,[12],1746390485899,[],,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,commissioner,,1746390435424,,1,[],451807541647634432,1224853898645221377,,,[5],1746390435424,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
