roster_id,matchup_id,starters,players
1,2,"['3294', '4866', '9221', '5859', '7547', '10236', '9493', '8144', '9758']","['10219', '10226', '10231', '10236', '1049', '1352', '2307', '3294', '4068', '4866', '5001', '5859', '7547', '7588', '7606', '7611', '8119', '8143', '8144', '9221', '9222', '9228', '9493', '9511', '9758']"
2,6,"['4881', '4034', '6828', '1479', '6803', '4089', '10222', '3225', '7527']","['10210', '10222', '1479', '3225', '4029', '4034', '4089', '4881', '5012', '5046', '5122', '5185', '6074', '6144', '6659', '6803', '6828', '6886', '6918', '7527', '7561', '8157', '8195', '8408', '9490', '9497', '9504', '9512']"
3,5,"['8162', '8138', '4098', '6819', '8137', '3271', '5947', '7528', '6804']","['1837', '2359', '3271', '4098', '4951', '5880', '5947', '6151', '6804', '6819', '6847', '7528', '7585', '7670', '8121', '8131', '8137', '8138', '8159', '8160', '8162', '8189', '8228', '9224']"
4,4,"['4046', '7543', '6790', '6786', '2133', '4066', '5892', '7569', '4984']","['11114', '2133', '4046', '4066', '4179', '4984', '5892', '6786', '6790', '6845', '7045', '7543', '7553', '7569', '8110', '8112', '8168', '9488', '9756']"
5,1,"['7523', '5995', '7594', '7525', '2309', '4217', '7601', '4981', '7591']","['10223', '11199', '11256', '11439', '2078', '2251', '2306', '2309', '3423', '421', '4217', '4981', '4988', '5995', '6694', '7523', '7525', '7591', '7594', '7601', '8118', '8151', '8171', '8230', '9231', '9481', '9484', '9757']"
6,3,"['10860', '5967', '6813', '10229', '8146', '4033', '5927', '8155', '5848']","['10213', '10229', '10235', '10860', '4017', '4033', '5848', '5927', '5955', '5967', '6813', '7571', '7596', '8136', '8146', '8155', '8210', '9229', '96', '9753', '9754']"
7,5,"['6904', '8154', '4018', '2216', '2374', '6826', '4663', '4137', '4892']","['10444', '11292', '1166', '2216', '2374', '4018', '4137', '4663', '4892', '5000', '5022', '5257', '5937', '6794', '6801', '6826', '6904', '8132', '8135', '8147', '8148', '8154', '827', '9482', '9492', '9500', '9505']"
8,6,"['1373', '5850', '9226', '1689', '8134', '1466', '7608', '6130', '5849']","['10217', '10218', '1339', '1373', '1466', '1689', '2028', '2319', '4464', '4985', '5038', '5133', '5248', '5849', '5850', '5917', '6130', '6149', '6783', '6824', '7567', '7608', '8134', '8179', '8756', '9226']"
9,3,"['3163', '8150', '4035', '7526', '5846', '10859', '4037', '4983', '1234']","['10232', '10859', '1234', '2505', '3163', '3214', '4035', '4037', '4111', '4983', '5846', '5916', '6938', '6945', '7526', '7538', '8111', '8139', '8140', '8150', '8161', '8172', '8676', '947', '9494', '9506', '9999']"
10,2,"['10866', '9509', '8129', '3321', '2449', '5844', '9501', '9508', '10862']","['10216', '10862', '10866', '10871', '1535', '1992', '2161', '2449', '2711', '3321', '4040', '4082', '4144', '4234', '5110', '5121', '5374', '5844', '5870', '6770', '7607', '7610', '8117', '8126', '8129', '9479', '9501', '9508', '9509']"
11,1,"['8183', '3198', '8205', '7564', '5872', '4381', '4039', '5987', '6768']","['10228', '10863', '1426', '2197', '3198', '3969', '4039', '4381', '4454', '4854', '5045', '5872', '5906', '5987', '6768', '7564', '7600', '7605', '8183', '8205', '8221', '9225']"
12,4,"['6797', '3164', '2749', '6943', '9502', '8130', '4950', '9997', '6011']","['10225', '10857', '10867', '1476', '2749', '3164', '3199', '4171', '4199', '4950', '5284', '5857', '5890', '6011', '6111', '6797', '6895', '6943', '7021', '7066', '8116', '8130', '8142', '8167', '8219', '9220', '9227', '9502', '9997', '9998']"
