roster_id,matchup_id,starters,players
1,3,"['11256', '4866', '9221', '9493', '5859', '10236', '7547', '8144', '8143']","['10231', '10236', '1049', '11256', '1352', '2307', '3294', '4068', '4147', '4866', '5001', '5859', '6806', '7547', '7588', '7606', '7611', '8119', '8143', '8144', '9221', '9222', '9228', '9493', '9511', '9758']"
2,4,"['4881', '4034', '6828', '1479', '6803', '5012', '6918', '5046', '6659']","['10210', '10222', '1479', '3225', '4029', '4034', '4089', '4881', '5012', '5046', '5122', '5185', '6136', '6144', '6659', '6803', '6828', '6886', '6918', '7527', '7561', '7593', '8195', '8408', '9490', '9497', '9504', '9512']"
3,6,"['8162', '8138', '7528', '6819', '8137', '3271', '5947', '4098', '6804']","['1837', '2359', '3271', '4098', '4951', '5880', '5947', '6151', '6783', '6804', '6819', '6847', '7528', '7585', '7670', '8121', '8131', '8137', '8138', '8159', '8160', '8162', '8189', '9224']"
4,1,"['4984', '7543', '6790', '2133', '8112', '4066', '9756', '7066', '4046']","['11114', '2133', '4046', '4066', '4179', '4455', '4943', '4984', '5086', '5892', '6786', '6790', '6845', '7045', '7066', '7543', '7553', '7565', '7569', '8110', '8112', '8168', '829', '9488', '9756']"
5,1,"['421', '8151', '5995', '7525', '4981', '4217', '11439', '2309', '7523']","['10223', '11199', '11439', '2078', '2251', '2306', '2309', '3423', '421', '4217', '4981', '4988', '5995', '6694', '6984', '7523', '7525', '7591', '7594', '7601', '8118', '8151', '8171', '8230', '9481', '9484', '9757']"
6,6,"['4017', '6813', '8136', '9754', '5927', '4033', '5848', '10229', '7596']","['10213', '10229', '10235', '4017', '4033', '4080', '4335', '5848', '5927', '5955', '5967', '6126', '6813', '6820', '7571', '7596', '8136', '8146', '8155', '8210', '9229', '96', '9753', '9754']"
7,5,"['6904', '8154', '4663', '2216', '2374', '5022', '5937', '7562', '4892']","['10444', '1166', '2216', '2374', '3257', '4018', '4137', '4663', '4892', '4993', '5022', '5937', '6794', '6801', '6826', '6904', '7090', '7562', '8132', '8135', '8147', '8148', '8154', '827', '9482', '9492', '9500', '9505']"
8,3,"['1373', '5850', '8228', '2319', '6149', '1466', '5248', '1339', '2028']","['10217', '10218', '1339', '1373', '1466', '1689', '2028', '2319', '4985', '5038', '5133', '5248', '5849', '5850', '5917', '6130', '6149', '6824', '6853', '7535', '7567', '7608', '7612', '8134', '8179', '8228', '8756', '9226']"
9,5,"['1234', '4035', '4111', '4983', '7526', '10859', '10232', '4037', '3163']","['10232', '10859', '1234', '2505', '3163', '3214', '4035', '4037', '4111', '4149', '4983', '5846', '5916', '6938', '6945', '7526', '7538', '8139', '8140', '8150', '8161', '8172', '8676', '947', '9494', '9506', '9999']"
10,4,"['345', '9509', '2161', '3321', '2449', '5844', '4144', '4082', '8126']","['10216', '10862', '10866', '10871', '1535', '1992', '2161', '2449', '3321', '345', '4040', '4082', '4144', '5110', '5121', '5844', '5870', '6770', '7607', '7610', '8117', '8125', '8126', '8129', '9479', '9508', '9509']"
11,2,"['6768', '5987', '8205', '5045', '4039', '5906', '4454', '8221', '8183']","['10228', '10863', '1426', '2197', '3198', '3969', '4039', '4454', '4854', '5045', '5872', '5906', '5987', '6768', '7564', '7600', '7605', '8183', '8205', '8221', '9225']"
12,2,"['6797', '1476', '2749', '4950', '9997', '5857', '3199', '6943', '8167']","['10225', '10857', '1476', '2749', '3164', '3199', '4171', '4199', '4950', '4973', '5284', '5857', '5890', '6011', '6797', '6895', '6943', '7021', '8116', '8130', '8142', '8157', '8167', '8219', '9220', '9227', '9502', '9997', '9998']"
