roster_id,matchup_id,starters,players
1,1,"['9758', '9221', '4866', '7547', '5859', '1466', '8144', '9493', '4892']","['10226', '11564', '11574', '11586', '11635', '1426', '1466', '3200', '4037', '4040', '4866', '4892', '5859', '5892', '6011', '6130', '6826', '7547', '7593', '8143', '8144', '9221', '9228', '9493', '9500', '9758']"
2,1,"['5849', '11439', '7594', '7090', '6794', '8111', '1479', '2374', '4881']","['11439', '11570', '11571', '11575', '11583', '11592', '11610', '11748', '1479', '2374', '4179', '4464', '4881', '5849', '6151', '6794', '6886', '6960', '7090', '7594', '8111', '8131', '8154', '8228', '8676', '9486', '9490', '9497', '9511']"
3,2,"['6804', '8138', '9226', '6819', '5947', '8130', '2133', '9501', '7611']","['11199', '11584', '2133', '5022', '5133', '5854', '5947', '6804', '6819', '6845', '6847', '7528', '7591', '7611', '8119', '8121', '8130', '8137', '8138', '8159', '8160', '8162', '9224', '9226', '9501']"
4,2,"['4984', '8151', '6790', '6786', '8112', '7553', '4098', '9488', '4046']","['10236', '11599', '11618', '19', '3286', '4046', '4098', '4147', '4171', '4951', '4972', '4984', '5970', '6111', '6149', '6694', '6786', '6790', '6803', '6820', '6828', '7543', '7553', '7561', '7569', '8112', '8151', '8180', '9488']"
5,3,"['7523', '4988', '11643', '9756', '7525', '9484', '6783', '11620', '11563']","['10235', '10866', '11563', '11581', '11589', '11620', '11621', '11629', '11640', '11643', '11645', '11834', '2028', '2078', '4217', '4981', '4988', '6783', '7049', '7523', '7525', '8117', '8208', '8230', '9481', '9484', '9756', '9757']"
6,5,"['96', '8155', '6813', '8146', '11632', '11604', '5927', '11628', '421']","['10213', '11559', '11604', '11628', '11632', '11637', '4033', '421', '5848', '5927', '5967', '6813', '7571', '7596', '8136', '8146', '8155', '8207', '8210', '9229', '96', '9753', '9754']"
7,6,"['1166', '8132', '7588', '10222', '9502', '5012', '9492', '8110', '4943']","['10222', '11560', '11619', '11627', '11650', '11651', '1166', '4943', '5012', '5185', '5937', '6797', '6801', '6865', '7588', '7608', '8110', '8132', '8135', '8148', '9482', '9492', '9502', '9505']"
8,5,"['1234', '8139', '4663', '8134', '11625', '5001', '11626', '9997', '6806']","['11435', '11562', '11565', '11567', '11579', '11582', '11625', '11626', '11630', '11638', '1234', '2309', '4017', '4080', '4663', '4950', '5001', '5248', '5995', '6806', '6824', '7002', '7083', '7562', '8134', '8139', '8167', '9997']"
9,4,"['3163', '4137', '8150', '11624', '7526', '10859', '4983', '4035', '2306']","['10232', '10859', '11600', '11624', '11636', '11647', '2306', '3163', '4035', '4111', '4137', '4149', '4381', '4983', '5857', '6938', '6945', '7526', '8150', '8161', '8172', '829', '9494', '9506', '9999']"
10,6,"['11566', '9509', '11655', '3321', '10444', '4993', '7021', '11631', '6770']","['10216', '10444', '10871', '11557', '11566', '11576', '11617', '11631', '11655', '1339', '2449', '3257', '3321', '4082', '4993', '5844', '5846', '5870', '6770', '7021', '7610', '7670', '8126', '8129', '9479', '9508', '9509']"
11,4,"['6768', '5987', '3198', '7564', '4039', '3214', '5850', '5045', '9225']","['10228', '10863', '11573', '11577', '11596', '2197', '3198', '3214', '4039', '4454', '5045', '5850', '5872', '5987', '6768', '7564', '7600', '8183', '8205', '8221', '9225']"
12,3,"['6904', '4199', '4018', '6943', '8142', '4066', '2749', '4029', '1373']","['10225', '10229', '10857', '11597', '11616', '1373', '1689', '2216', '2381', '2749', '3164', '3294', '4018', '4029', '4034', '4066', '4068', '4199', '5284', '6904', '6943', '7066', '8116', '8142', '8408', '9227', '9998']"
